Strict gate (80% pass-rate). Selected ell per window:

PASS_RATE_THRESHOLD = 0.8
VALID_OFFSET_RATIO_THRESHOLD = 0.8
ALPHA = 0.01

AGG_START = 50
AGG_STOP = 2000
AGG_STEP = 25

Window  | BNB  | BTC  | DOGE | ETH  | SOL
--------+------+------+------+------+----
2025.01 | 325  | -    | 1075 | 1900 | -  
2025.02 | 700  | -    | 900  | 1025 | -  
2025.03 | 350  | -    | 500  | 1150 | 425
2025.04 | 275  | -    | 375  | 975  | 600
2025.05 | 475  | -    | 650  | -    | 625
2025.06 | 250  | 1325 | 125  | 850  | 300
2025.07 | 425  | -    | 650  | 1275 | 550
2025.08 | 300  | -    | 375  | -    | 650
2025.09 | 375  | 1500 | 450  | 975  | 425
2025.10 | 1025 | 1625 | 225  | 1300 | 350
2025.11 | 450  | 1600 | 200  | 1400 | 225
2025.12 | 275  | 1275 | 75   | 700  | 150
2026.01 | 400  | 1825 | 150  | 950  | 225
2026.02 | 325  | -    | 125  | 650  | 225
2026.03 | 200  | 1225 | 125  | 750  | 150


Strict gate + Runs (≥80% pass-rate). Selected ell per window (n=2000, alpha=0.01):

Window  | BNB  | BTC  | DOGE | ETH  | SOL 
--------+------+------+------+------+-----
2025.01 | 675  | -    | -    | -    | -   
2025.02 | -    | -    | 1500 | 1800 | -   
2025.03 | 550  | -    | 950  | 1550 | 1300
2025.04 | 425  | -    | 1075 | 1575 | 950 
2025.05 | 1075 | -    | 1550 | -    | 1200
2025.06 | 550  | -    | 225  | 1325 | 675 
2025.07 | -    | -    | -    | -    | 1650
2025.08 | 500  | -    | 1075 | -    | 1750
2025.09 | 650  | -    | 1025 | 1725 | 750 
2025.10 | -    | -    | 300  | -    | 550 
2025.11 | 525  | -    | 1425 | 1850 | 325 
2025.12 | 400  | 1925 | 100  | 1050 | 250 
2026.01 | 650  | -    | 275  | 1850 | 350 
2026.02 | 575  | -    | 300  | -    | 450 
2026.03 | 225  | -    | 300  | 1750 | 325 
