asset,sampling_k,total_offset_count,valid_offset_count,valid_offset_ratio,predictability_pass_rate,monobit_pass_rate,runs_pass_rate,approximate_entropy_pass_rate,avg_bits_per_second,min_bit_count_required,alpha,pass_rate_threshold,is_acceptable
BNBUSDT,50,50,50,1.0,0.0,1.0,0.0,0.0,0.06644264365790681,50,0.01,0.8,False
BNBUSDT,100,100,100,1.0,0.0,1.0,0.0,0.13,0.03415993098335361,50,0.01,0.8,False
BNBUSDT,200,200,200,1.0,0.9,1.0,0.895,1.0,0.017377285961770447,50,0.01,0.8,True
BNBUSDT,500,500,500,1.0,0.998,1.0,0.994,1.0,0.006975651824771438,50,0.01,0.8,True
BNBUSDT,1000,1000,1000,1.0,1.0,0.992,1.0,0.994,0.003481617992903178,50,0.01,0.8,True
BTCUSDT,50,50,50,1.0,0.0,0.0,0.0,0.0,0.17414732688729992,50,0.01,0.8,False
BTCUSDT,100,100,100,1.0,0.0,0.2,0.0,0.0,0.08963982333654241,50,0.01,0.8,False
BTCUSDT,200,200,200,1.0,0.0,0.945,0.0,0.0,0.045724176051223295,50,0.01,0.8,False
BTCUSDT,500,500,500,1.0,0.788,1.0,0.77,0.966,0.018503215812596428,50,0.01,0.8,False
BTCUSDT,1000,1000,1000,1.0,0.979,1.0,0.979,1.0,0.009248553696078349,50,0.01,0.8,True
DOGEUSDT,50,50,50,1.0,0.14,1.0,0.14,0.54,0.030890966278121157,50,0.01,0.8,False
DOGEUSDT,100,100,100,1.0,0.94,1.0,0.94,1.0,0.01573147823665062,50,0.01,0.8,True
DOGEUSDT,200,200,200,1.0,0.975,1.0,0.975,1.0,0.007958075770822628,50,0.01,0.8,True
DOGEUSDT,500,500,500,1.0,0.974,1.0,0.97,1.0,0.0032027081257088464,50,0.01,0.8,True
DOGEUSDT,1000,1000,1000,1.0,1.0,1.0,1.0,1.0,0.0016049645051673918,50,0.01,0.8,True
ETHUSDT,50,50,50,1.0,0.0,1.0,0.0,0.0,0.10549005057110201,50,0.01,0.8,False
ETHUSDT,100,100,100,1.0,0.0,1.0,0.0,0.0,0.05374007544849792,50,0.01,0.8,False
ETHUSDT,200,200,200,1.0,0.58,1.0,0.57,0.875,0.02716507203130818,50,0.01,0.8,False
ETHUSDT,500,500,500,1.0,1.0,1.0,1.0,1.0,0.010947761787225443,50,0.01,0.8,True
ETHUSDT,1000,1000,1000,1.0,1.0,0.981,1.0,1.0,0.005456863933580093,50,0.01,0.8,True
SOLUSDT,50,50,50,1.0,0.02,1.0,0.02,0.26,0.04137373016921944,50,0.01,0.8,False
SOLUSDT,100,100,100,1.0,0.9,1.0,0.9,1.0,0.021737464749441052,50,0.01,0.8,True
SOLUSDT,200,200,200,1.0,1.0,1.0,0.99,1.0,0.011285468634611549,50,0.01,0.8,True
SOLUSDT,500,500,500,1.0,1.0,1.0,1.0,1.0,0.004648449494536082,50,0.01,0.8,True
SOLUSDT,1000,1000,1000,1.0,1.0,1.0,1.0,1.0,0.0023404007999321486,50,0.01,0.8,True
