asset,date,source_file,timestamp_unit,start_time,end_time,duration_seconds,preview_duplicate_timestamps,sampling_k,input_rows,sampled_rows,retained_rows,zero_delta_count,zero_delta_ratio,duplicate_timestamp_count,bit_count,bits_per_second,p0,p1,shannon_entropy,lag1_autocorrelation,monobit_z,monobit_pvalue,runs_count,runs_z,runs_pvalue,longest_run_0,longest_run_1
BNBUSDT,aggTrades-2026-01,data/raw/binance/spot/aggTrades/BNBUSDT/BNBUSDT-aggTrades-2026-01.csv,us,2026-01-01T00:00:00.389785+00:00,2026-01-31T23:59:59.421880+00:00,2678399.032095,0,100,9400687,94007,91319,2687,0.028582977863350602,29,91319,0.03409462104254562,0.49878995608799925,0.5012100439120007,0.9999957751896298,0.08633031100098965,0.7313271560008889,0.46457934718011523,41718,-26.091352155390314,4.570288948993503e-150,18,17
BNBUSDT,aggTrades-2026-02,data/raw/binance/spot/aggTrades/BNBUSDT/BNBUSDT-aggTrades-2026-02.csv,us,2026-02-01T00:00:00.002674+00:00,2026-02-28T23:59:56.402770+00:00,2419196.400096,0,100,12973782,129738,127463,2274,0.017527632613420895,97,127463,0.052688157106608596,0.5005923287542267,0.4994076712457733,0.999998987650978,0.05148069671226365,0.4229459584586055,0.67233469033526,60451,-18.382340737844533,1.8194547660951655e-75,23,21
BNBUSDT,aggTrades-2026-03,data/raw/binance/spot/aggTrades/BNBUSDT/BNBUSDT-aggTrades-2026-03.csv,us,2026-03-01T00:00:01.627402+00:00,2026-03-31T23:59:57.197732+00:00,2678395.57033,2,100,8571739,85718,84013,1704,0.01987913857066194,19,84013,0.03136691268857233,0.4974825324652137,0.5025174675347863,0.9999817133510924,0.04775474834293941,1.459375734493758,0.14446172094159584,40000,-13.845079785124438,1.3622940636037142e-43,17,16
BTCUSDT,aggTrades-2026-01,data/raw/binance/spot/aggTrades/BTCUSDT/BTCUSDT-aggTrades-2026-01.csv,us,2026-01-01T00:00:00.039409+00:00,2026-01-31T23:59:59.765674+00:00,2678399.726265,0,100,30712691,307127,297308,9818,0.03196723179661834,1820,297308,0.11100210214499717,0.5055834353599634,0.4944165646400366,0.999910046814773,0.316298195515189,6.088843140544599,1.1372947811125413e-09,101623,-172.46613479264448,0.0,44,38
BTCUSDT,aggTrades-2026-02,data/raw/binance/spot/aggTrades/BTCUSDT/BTCUSDT-aggTrades-2026-02.csv,us,2026-02-01T00:00:00.006539+00:00,2026-02-28T23:59:59.996711+00:00,2419199.990172,0,100,52474665,524747,519261,5485,0.01045265623243201,3293,519261,0.21464161793547362,0.5125283816808888,0.4874716183191112,0.9995470607673582,0.2288576730597245,18.05584526130218,7.096720191818135e-73,200087,-164.91548247447875,0.0,32,31
BTCUSDT,aggTrades-2026-03,data/raw/binance/spot/aggTrades/BTCUSDT/BTCUSDT-aggTrades-2026-03.csv,us,2026-03-01T00:00:00.005709+00:00,2026-03-31T23:59:59.618442+00:00,2678399.612733,0,100,38348867,383489,380323,3165,0.008253170234348312,4453,380323,0.1419963616302662,0.5066141148444874,0.49338588515551257,0.9998737705574495,0.2500936378141609,8.157893328870678,3.409183913509057e-16,142579,-154.23496689723305,0.0,40,30
DOGEUSDT,aggTrades-2026-01,data/raw/binance/spot/aggTrades/DOGEUSDT/DOGEUSDT-aggTrades-2026-01.csv,us,2026-01-01T00:00:00.293938+00:00,2026-01-31T23:59:59.449385+00:00,2678399.155447,0,100,5141718,51418,49471,1946,0.037846668481854605,1,49471,0.018470361260154947,0.5059125548301024,0.4940874451698975,0.9998991293036543,0.01752941541411773,2.6301500244700695,0.008534719513590167,24299,-3.903468560047886,9.482387304279859e-05,15,15
DOGEUSDT,aggTrades-2026-02,data/raw/binance/spot/aggTrades/DOGEUSDT/DOGEUSDT-aggTrades-2026-02.csv,us,2026-02-01T00:00:00.009013+00:00,2026-02-28T23:59:58.295938+00:00,2419198.286925,0,100,5142195,51422,49372,2049,0.03984675819688071,1,49372,0.02040841392243042,0.5049420724297172,0.4950579275702828,0.9999295258545615,0.022894131517455014,2.196238304784805,0.028074891010202496,24119,-5.091395783279457,3.5543721856347965e-07,15,18
DOGEUSDT,aggTrades-2026-03,data/raw/binance/spot/aggTrades/DOGEUSDT/DOGEUSDT-aggTrades-2026-03.csv,us,2026-03-01T00:00:00.003065+00:00,2026-03-31T23:59:59.277849+00:00,2678399.274784,0,100,4140164,41402,39279,2122,0.051253562629824646,0,39279,0.014665102537099387,0.5016420988314366,0.4983579011685634,0.9999922195646316,0.011242287562266983,0.6508928471804362,0.5151156590873731,19419,-2.233151530652512,0.025538953387382084,17,15
ETHUSDT,aggTrades-2026-01,data/raw/binance/spot/aggTrades/ETHUSDT/ETHUSDT-aggTrades-2026-01.csv,us,2026-01-01T00:00:01.317428+00:00,2026-01-31T23:59:59.498336+00:00,2678398.180908,0,100,28926906,289270,285576,3693,0.012766619421301898,277,285576,0.10662193621382586,0.49997898983107825,0.5000210101689218,0.9999999987263103,0.16110303648622848,0.02245537918010282,0.9820847052713476,119785,-86.09407372319473,0.0,30,25
