Results. Selected ell per window:

RELAXED_MIN_PASS_ABSOLUTE = 3
RELAXED_MIN_PASS_FRACTION = 0.03

DEFAULT_AGG_START = 10
DEFAULT_AGG_STOP = 2000
DEFAULT_AGG_STEP = 2

ETHUSDT = (300, 2000, 2)
BTCUSDT = (700, 2000, 2)

Window  | BNB | BTC  | DOGE | ETH  | SOL
--------+-----+------+------+------+----
2025.01 | 244 | 1750 | 594  | 800  | 596
2025.02 | 286 | 1550 | 172  | 610  | 312
2025.03 | 180 | 1576 | 214  | 436  | 180
2025.04 | 176 | 1370 | 162  | 444  | 196
2025.05 | 198 | 1248 | 156  | 550  | 226
2025.06 | 146 | 924  | 72   | 400  | 104
2025.07 | 268 | 1376 | 220  | 576  | 298
2025.08 | 212 | 1314 | 214  | 1194 | 388
2025.09 | 256 | 900  | 238  | 698  | 270
2025.10 | 464 | 1150 | 124  | 714  | 164
2025.11 | 232 | 988  | 72   | 660  | 108
2025.12 | 206 | 870  | 48   | 470  | 98 
2026.01 | 218 | 1030 | 66   | 556  | 110
2026.02 | 158 | 998  | 56   | 420  | 76 
2026.03 | 128 | 880  | 48   | 442  | 66 
