asset,date,source_file,timestamp_unit,start_time,end_time,duration_seconds,preview_duplicate_timestamps,sampling_k,input_rows,sampled_rows,retained_rows,zero_delta_count,zero_delta_ratio,duplicate_timestamp_count,bit_count,bits_per_second,p0,p1,shannon_entropy,lag1_autocorrelation,monobit_z,monobit_pvalue,runs_count,runs_z,runs_pvalue,longest_run_0,longest_run_1
BNBUSDT,aggTrades-2026-01,data/raw/binance/spot/aggTrades/BNBUSDT/BNBUSDT-aggTrades-2026-01.csv,us,2026-01-01T00:00:00.389785+00:00,2026-01-31T23:59:59.421880+00:00,2678399.032095,0,1000,9400687,9401,9358,42,0.004467609828741623,0,9358,0.0034938782040554745,0.5041675571703356,0.49583244282966443,0.9999498844275174,0.009868504315979987,0.8063119238683901,0.42006301692152015,4633,-0.9651071658474192,0.3344911381404838,14,12
BNBUSDT,aggTrades-2026-02,data/raw/binance/spot/aggTrades/BNBUSDT/BNBUSDT-aggTrades-2026-02.csv,us,2026-02-01T00:00:00.002674+00:00,2026-02-28T23:59:56.402770+00:00,2419196.400096,0,1000,12973782,12974,12916,57,0.0043934021889933715,0,12916,0.005338962971128536,0.5055744812635491,0.4944255187364509,0.9999103351033516,0.01853846448670031,1.2670637726263572,0.2051324879017642,6338,-2.115589498364212,0.034379735783721665,13,16
BNBUSDT,aggTrades-2026-03,data/raw/binance/spot/aggTrades/BNBUSDT/BNBUSDT-aggTrades-2026-03.csv,us,2026-03-01T00:00:01.627402+00:00,2026-03-31T23:59:57.197732+00:00,2678395.57033,2,1000,8571739,8572,8519,52,0.006066262249183388,0,8519,0.0031806354872930104,0.5038150017607701,0.49618499823922996,0.9999580049372965,0.001820264384362942,0.7042373384734053,0.4812849818311244,4252,-0.17883272604800304,0.8580690478183377,12,12
BTCUSDT,aggTrades-2026-01,data/raw/binance/spot/aggTrades/BTCUSDT/BTCUSDT-aggTrades-2026-01.csv,us,2026-01-01T00:00:00.039409+00:00,2026-01-31T23:59:59.765674+00:00,2678399.726265,0,1000,30712691,30713,30658,54,0.0017582131345033048,1,30658,0.011446387071862591,0.5007828299301977,0.4992171700698023,0.9999982317667382,0.04700151231062086,0.2741380551820119,0.7839785298100521,14609,-8.235289369350909,1.791241394151346e-16,21,20
BTCUSDT,aggTrades-2026-02,data/raw/binance/spot/aggTrades/BTCUSDT/BTCUSDT-aggTrades-2026-02.csv,us,2026-02-01T00:00:00.006539+00:00,2026-02-28T23:59:59.996711+00:00,2419199.990172,0,1000,52474665,52475,52445,29,0.0005526441162458314,7,52445,0.021678654188598632,0.5059395557250452,0.4940604442749547,0.9998982058848283,0.03491071543682809,2.7204202677907,0.00651989931652633,25304,-7.999150318246139,1.2528070054201456e-15,20,15
BTCUSDT,aggTrades-2026-03,data/raw/binance/spot/aggTrades/BTCUSDT/BTCUSDT-aggTrades-2026-03.csv,us,2026-03-01T00:00:00.005709+00:00,2026-03-31T23:59:59.618442+00:00,2678399.612733,0,1000,38348867,38349,38319,29,0.0007562126782966962,4,38319,0.014306677695827417,0.5030663639447793,0.4969336360552207,0.9999728696962332,0.0262695510868961,1.2004961699423682,0.2299466992392586,18656,-5.1473692366945745,2.641650285379173e-07,22,13
DOGEUSDT,aggTrades-2026-01,data/raw/binance/spot/aggTrades/DOGEUSDT/DOGEUSDT-aggTrades-2026-01.csv,us,2026-01-01T00:00:00.293938+00:00,2026-01-31T23:59:59.449385+00:00,2678399.155447,0,1000,5141718,5142,5087,54,0.010501750291715286,0,5087,0.0018992688187101175,0.512089640259485,0.48791035974051505,0.9995782320097415,-0.031678917160051695,1.7245438538446336,0.08460970931166129,2623,2.244478261433336,0.024801646067486766,13,9
DOGEUSDT,aggTrades-2026-02,data/raw/binance/spot/aggTrades/DOGEUSDT/DOGEUSDT-aggTrades-2026-02.csv,us,2026-02-01T00:00:00.009013+00:00,2026-02-28T23:59:58.295938+00:00,2419198.286925,0,1000,5142195,5143,5086,56,0.010888586428154774,0,5086,0.0021023493723057833,0.5027526543452615,0.4972473456547385,0.9999781369832195,-0.010062350559150118,0.3926176808737021,0.6946018786788435,2569,0.7033549659484019,0.48183456408423725,13,11
DOGEUSDT,aggTrades-2026-03,data/raw/binance/spot/aggTrades/DOGEUSDT/DOGEUSDT-aggTrades-2026-03.csv,us,2026-03-01T00:00:00.003065+00:00,2026-03-31T23:59:59.277849+00:00,2678399.274784,0,1000,4140164,4141,4090,50,0.01207437816952427,0,4090,0.0015270314767875071,0.5117359413202933,0.4882640586797066,0.9996025520347804,0.0031189589620784367,1.501099841281829,0.13332973987563165,2038,-0.21509448712524876,0.829693651954812,12,11
ETHUSDT,aggTrades-2026-01,data/raw/binance/spot/aggTrades/ETHUSDT/ETHUSDT-aggTrades-2026-01.csv,us,2026-01-01T00:00:01.317428+00:00,2026-01-31T23:59:59.498336+00:00,2678398.180908,0,1000,28926906,28927,28855,71,0.0024544543160369206,0,28855,0.010773230136460855,0.5047998613758448,0.49520013862415524,0.999933523431271,0.03130953805045987,1.6306818212692462,0.10295747434269485,13975,-5.324381597282581,1.012970573955648e-07,21,16
