asset,date,source_file,timestamp_unit,start_time,end_time,duration_seconds,preview_duplicate_timestamps,sampling_k,input_rows,sampled_rows,retained_rows,zero_delta_count,zero_delta_ratio,duplicate_timestamp_count,bit_count,bits_per_second,p0,p1,shannon_entropy,lag1_autocorrelation,monobit_z,monobit_pvalue,runs_count,runs_z,runs_pvalue,longest_run_0,longest_run_1
BNBUSDT,aggTrades-2026-01,data/raw/binance/spot/aggTrades/BNBUSDT/BNBUSDT-aggTrades-2026-01.csv,us,2026-01-01T00:00:00.389785+00:00,2026-01-01T12:14:33.493825+00:00,44073.10404,0,200,100000,500,480,19,0.038,0,480,0.01089099600437401,0.5104166666666667,0.4895833333333333,0.999686892486842,0.08109522148587375,0.45643546458763845,0.6480768681391462,221,-1.8189227332562534,0.06892321902165867,8,8
BNBUSDT,aggTrades-2026-02,data/raw/binance/spot/aggTrades/BNBUSDT/BNBUSDT-aggTrades-2026-02.csv,us,2026-02-01T00:00:00.002674+00:00,2026-02-01T05:16:00.311841+00:00,18960.309167,0,200,100000,500,495,4,0.008,0,495,0.02610716922599219,0.5272727272727273,0.4727272727272727,0.9978527766088781,0.10258686844856718,1.2135597524338357,0.2249158840159619,222,-2.3252585091522113,0.02005814144547456,7,8
BNBUSDT,aggTrades-2026-03,data/raw/binance/spot/aggTrades/BNBUSDT/BNBUSDT-aggTrades-2026-03.csv,us,2026-03-01T00:00:01.627402+00:00,2026-03-01T06:04:19.779152+00:00,21858.15175,2,200,100000,500,494,5,0.01,0,494,0.022600263995330713,0.4655870445344129,0.5344129554655871,0.9965802695850057,0.021987105306662296,1.5297323202638815,0.1260830000785948,241,-0.527641945861266,0.5977478738465349,7,9
BTCUSDT,aggTrades-2026-01,data/raw/binance/spot/aggTrades/BTCUSDT/BTCUSDT-aggTrades-2026-01.csv,us,2026-01-01T00:00:00.039409+00:00,2026-01-01T06:21:01.272186+00:00,22861.232777,0,200,100000,500,470,29,0.058,1,470,0.02055882132799299,0.5,0.5,1.0,0.24946353882524097,0.0,1.0,177,-5.448746124891046,5.0726158857856034e-08,10,13
BTCUSDT,aggTrades-2026-02,data/raw/binance/spot/aggTrades/BTCUSDT/BTCUSDT-aggTrades-2026-02.csv,us,2026-02-01T00:00:00.006539+00:00,2026-02-01T01:04:17.222034+00:00,3857.215495,0,200,100000,500,498,1,0.002,1,498,0.12910867973167262,0.5200803212851406,0.4799196787148594,0.9988362420716626,0.07309201777431802,0.8962214298964417,0.37013451246696455,231,-1.6712082002977315,0.09468056109390159,12,9
BTCUSDT,aggTrades-2026-03,data/raw/binance/spot/aggTrades/BTCUSDT/BTCUSDT-aggTrades-2026-03.csv,us,2026-03-01T00:00:00.005709+00:00,2026-03-01T01:29:28.412285+00:00,5368.406576,0,200,100000,500,498,1,0.002,1,498,0.09276495603487987,0.5481927710843373,0.45180722891566266,0.9932881419175728,0.08974358974358976,2.15093143175146,0.031481612185890365,225,-2.0544077652426798,0.03993624212628302,11,6
DOGEUSDT,aggTrades-2026-01,data/raw/binance/spot/aggTrades/DOGEUSDT/DOGEUSDT-aggTrades-2026-01.csv,us,2026-01-01T00:00:00.293938+00:00,2026-01-01T18:16:27.560840+00:00,65787.266902,0,200,100000,500,488,11,0.022,0,488,0.007417848817567526,0.46311475409836067,0.5368852459016393,0.9960707967664839,-0.0034255869185143405,1.6296434287653334,0.10317688009302879,244,0.029877303809655774,0.9761649067036503,12,9
DOGEUSDT,aggTrades-2026-02,data/raw/binance/spot/aggTrades/DOGEUSDT/DOGEUSDT-aggTrades-2026-02.csv,us,2026-02-01T00:00:00.009013+00:00,2026-02-01T15:40:18.170788+00:00,56418.161775,0,200,100000,500,491,8,0.016,0,491,0.00870287128386327,0.5071283095723014,0.49287169042769857,0.9998533802914671,0.00393228472407359,0.31590557768456695,0.7520741781873197,245,-0.1310448089353786,0.8957398606119793,8,8
DOGEUSDT,aggTrades-2026-03,data/raw/binance/spot/aggTrades/DOGEUSDT/DOGEUSDT-aggTrades-2026-03.csv,us,2026-03-01T00:00:00.003065+00:00,2026-03-01T16:54:34.635694+00:00,60874.632629,0,200,100000,500,483,16,0.032,0,483,0.007934339463592987,0.515527950310559,0.484472049689441,0.9993041708285914,0.03226223432580714,0.6825236327899351,0.4949079044100179,234,-0.7538406073208667,0.45094493737114955,12,9
ETHUSDT,aggTrades-2026-01,data/raw/binance/spot/aggTrades/ETHUSDT/ETHUSDT-aggTrades-2026-01.csv,us,2026-01-01T00:00:01.317428+00:00,2026-01-01T12:07:04.931891+00:00,43623.614463,0,200,100000,500,481,18,0.036,0,481,0.011026138157533167,0.4698544698544699,0.5301455301455301,0.9973763022630957,0.05907004082982748,1.3222861825039043,0.18607287212857193,226,-1.340028991734504,0.18023591960598256,7,9
