asset,sub_test,n_admissible_months,n_passed_months,pass_rate,dominant_bracket
BTCUSDT,D_adaptive,15,15,1.0,25K
BTCUSDT,D_k2,15,3,0.2,25K
BTCUSDT,Monobit,15,15,1.0,25K
BTCUSDT,Runs,15,3,0.2,25K
BTCUSDT,ApEn,15,1,0.06666666666666667,25K
BTCUSDT,BlockFrequency,15,10,0.6666666666666666,25K
BTCUSDT,CumSum_forward,15,15,1.0,25K
BTCUSDT,CumSum_backward,15,14,0.9333333333333333,25K
BTCUSDT,LongestRun,15,14,0.9333333333333333,25K
BTCUSDT,DFT,15,15,1.0,25K
BTCUSDT,Serial_m,15,1,0.06666666666666667,25K
BTCUSDT,Serial_m_minus_1,15,14,0.9333333333333333,25K
BTCUSDT,Alphabit_MultinomialBitsOver_L2,15,2,0.13333333333333333,25K
BTCUSDT,Alphabit_MultinomialBitsOver_L4,15,1,0.06666666666666667,25K
BTCUSDT,Alphabit_MultinomialBitsOver_L8,15,14,0.9333333333333333,25K
BTCUSDT,Alphabit_MultinomialBitsOver_L16,1,1,1.0,25K
BTCUSDT,Alphabit_HammingIndep_L16,15,15,1.0,25K
BTCUSDT,Alphabit_HammingIndep_L32,15,15,1.0,25K
BTCUSDT,Alphabit_HammingCorr_L32,15,14,0.9333333333333333,25K
BTCUSDT,Alphabit_RandomWalk1_L64_H,15,15,1.0,25K
BTCUSDT,Alphabit_RandomWalk1_L64_M,15,15,1.0,25K
BTCUSDT,Alphabit_RandomWalk1_L64_J,15,15,1.0,25K
BTCUSDT,Alphabit_RandomWalk1_L64_R,15,15,1.0,25K
BTCUSDT,Alphabit_RandomWalk1_L64_C,15,15,1.0,25K
BTCUSDT,Alphabit_RandomWalk1_L320_H,15,15,1.0,25K
BTCUSDT,Alphabit_RandomWalk1_L320_M,15,15,1.0,25K
BTCUSDT,Alphabit_RandomWalk1_L320_J,15,15,1.0,25K
BTCUSDT,Alphabit_RandomWalk1_L320_R,15,15,1.0,25K
BTCUSDT,Alphabit_RandomWalk1_L320_C,15,15,1.0,25K
ETHUSDT,D_adaptive,11,11,1.0,50K
ETHUSDT,D_k2,11,2,0.18181818181818182,50K
ETHUSDT,Monobit,11,11,1.0,50K
ETHUSDT,Runs,11,2,0.18181818181818182,50K
ETHUSDT,ApEn,11,4,0.36363636363636365,50K
ETHUSDT,BlockFrequency,11,11,1.0,50K
ETHUSDT,CumSum_forward,11,9,0.8181818181818182,50K
ETHUSDT,CumSum_backward,11,10,0.9090909090909091,50K
ETHUSDT,LongestRun,9,9,1.0,50K
ETHUSDT,DFT,11,11,1.0,50K
ETHUSDT,Serial_m,11,2,0.18181818181818182,50K
ETHUSDT,Serial_m_minus_1,11,9,0.8181818181818182,50K
ETHUSDT,Alphabit_MultinomialBitsOver_L2,11,3,0.2727272727272727,50K
ETHUSDT,Alphabit_MultinomialBitsOver_L4,11,2,0.18181818181818182,50K
ETHUSDT,Alphabit_MultinomialBitsOver_L8,11,11,1.0,50K
ETHUSDT,Alphabit_MultinomialBitsOver_L16,1,1,1.0,50K
ETHUSDT,Alphabit_HammingIndep_L16,11,11,1.0,50K
