asset,sub_test,n_admissible_months,n_passed_months,pass_rate,dominant_bracket
BTCUSDT,D_adaptive,15,15,1.0,25K
BTCUSDT,D_k2,15,14,0.9333333333333333,25K
BTCUSDT,Monobit,15,15,1.0,25K
BTCUSDT,Runs,15,15,1.0,25K
BTCUSDT,ApEn,15,11,0.7333333333333333,25K
BTCUSDT,BlockFrequency,15,13,0.8666666666666667,25K
BTCUSDT,CumSum_forward,15,15,1.0,25K
BTCUSDT,CumSum_backward,15,14,0.9333333333333333,25K
BTCUSDT,LongestRun,13,13,1.0,25K
BTCUSDT,DFT,15,15,1.0,25K
BTCUSDT,Serial_m,15,8,0.5333333333333333,25K
BTCUSDT,Serial_m_minus_1,15,14,0.9333333333333333,25K
BTCUSDT,Alphabit_MultinomialBitsOver_L2,15,13,0.8666666666666667,25K
BTCUSDT,Alphabit_MultinomialBitsOver_L4,15,8,0.5333333333333333,25K
BTCUSDT,Alphabit_MultinomialBitsOver_L8,15,14,0.9333333333333333,25K
BTCUSDT,Alphabit_MultinomialBitsOver_L16,1,1,1.0,25K
BTCUSDT,Alphabit_HammingIndep_L16,15,15,1.0,25K
BTCUSDT,Alphabit_HammingIndep_L32,15,15,1.0,25K
BTCUSDT,Alphabit_HammingCorr_L32,15,14,0.9333333333333333,25K
BTCUSDT,Alphabit_RandomWalk1_L64_H,15,14,0.9333333333333333,25K
BTCUSDT,Alphabit_RandomWalk1_L64_M,15,15,1.0,25K
BTCUSDT,Alphabit_RandomWalk1_L64_J,15,15,1.0,25K
BTCUSDT,Alphabit_RandomWalk1_L64_R,15,15,1.0,25K
BTCUSDT,Alphabit_RandomWalk1_L64_C,15,15,1.0,25K
BTCUSDT,Alphabit_RandomWalk1_L320_H,13,13,1.0,25K
BTCUSDT,Alphabit_RandomWalk1_L320_M,13,13,1.0,25K
BTCUSDT,Alphabit_RandomWalk1_L320_J,13,13,1.0,25K
BTCUSDT,Alphabit_RandomWalk1_L320_R,13,13,1.0,25K
BTCUSDT,Alphabit_RandomWalk1_L320_C,13,13,1.0,25K
ETHUSDT,D_adaptive,8,8,1.0,25K
ETHUSDT,D_k2,8,8,1.0,25K
ETHUSDT,Monobit,8,8,1.0,25K
ETHUSDT,Runs,8,8,1.0,25K
ETHUSDT,ApEn,8,2,0.25,25K
ETHUSDT,BlockFrequency,8,8,1.0,25K
ETHUSDT,CumSum_forward,8,8,1.0,25K
ETHUSDT,CumSum_backward,8,8,1.0,25K
ETHUSDT,LongestRun,8,8,1.0,25K
ETHUSDT,DFT,8,8,1.0,25K
ETHUSDT,Serial_m,8,3,0.375,25K
ETHUSDT,Serial_m_minus_1,8,7,0.875,25K
ETHUSDT,Alphabit_MultinomialBitsOver_L2,8,7,0.875,25K
ETHUSDT,Alphabit_MultinomialBitsOver_L4,8,3,0.375,25K
ETHUSDT,Alphabit_MultinomialBitsOver_L8,8,8,1.0,25K
ETHUSDT,Alphabit_MultinomialBitsOver_L16,1,1,1.0,25K
ETHUSDT,Alphabit_HammingIndep_L16,8,8,1.0,25K
ETHUSDT,Alphabit_HammingIndep_L32,8,8,1.0,25K
ETHUSDT,Alphabit_HammingCorr_L32,8,8,1.0,25K
ETHUSDT,Alphabit_RandomWalk1_L64_H,8,8,1.0,25K
ETHUSDT,Alphabit_RandomWalk1_L64_M,8,8,1.0,25K
ETHUSDT,Alphabit_RandomWalk1_L64_J,8,8,1.0,25K
ETHUSDT,Alphabit_RandomWalk1_L64_R,8,8,1.0,25K
ETHUSDT,Alphabit_RandomWalk1_L64_C,8,8,1.0,25K
ETHUSDT,Alphabit_RandomWalk1_L320_H,8,8,1.0,25K
ETHUSDT,Alphabit_RandomWalk1_L320_M,8,8,1.0,25K
ETHUSDT,Alphabit_RandomWalk1_L320_J,8,8,1.0,25K
ETHUSDT,Alphabit_RandomWalk1_L320_R,8,8,1.0,25K
ETHUSDT,Alphabit_RandomWalk1_L320_C,8,8,1.0,25K
BNBUSDT,D_adaptive,14,14,1.0,10K
BNBUSDT,D_k2,14,14,1.0,10K
BNBUSDT,Monobit,14,14,1.0,10K
BNBUSDT,Runs,14,14,1.0,10K
BNBUSDT,ApEn,14,8,0.5714285714285714,10K
BNBUSDT,BlockFrequency,14,13,0.9285714285714286,10K
BNBUSDT,CumSum_forward,14,11,0.7857142857142857,10K
BNBUSDT,CumSum_backward,14,9,0.6428571428571429,10K
BNBUSDT,LongestRun,12,12,1.0,10K
BNBUSDT,DFT,14,14,1.0,10K
BNBUSDT,Serial_m,14,9,0.6428571428571429,10K
BNBUSDT,Serial_m_minus_1,14,13,0.9285714285714286,10K
BNBUSDT,Alphabit_MultinomialBitsOver_L2,14,11,0.7857142857142857,10K
BNBUSDT,Alphabit_MultinomialBitsOver_L4,14,8,0.5714285714285714,10K
BNBUSDT,Alphabit_MultinomialBitsOver_L8,14,13,0.9285714285714286,10K
BNBUSDT,Alphabit_MultinomialBitsOver_L16,0,0,,10K
BNBUSDT,Alphabit_HammingIndep_L16,14,14,1.0,10K
BNBUSDT,Alphabit_HammingIndep_L32,14,14,1.0,10K
BNBUSDT,Alphabit_HammingCorr_L32,14,13,0.9285714285714286,10K
BNBUSDT,Alphabit_RandomWalk1_L64_H,14,14,1.0,10K
BNBUSDT,Alphabit_RandomWalk1_L64_M,14,14,1.0,10K
BNBUSDT,Alphabit_RandomWalk1_L64_J,14,14,1.0,10K
BNBUSDT,Alphabit_RandomWalk1_L64_R,14,14,1.0,10K
BNBUSDT,Alphabit_RandomWalk1_L64_C,14,14,1.0,10K
BNBUSDT,Alphabit_RandomWalk1_L320_H,12,12,1.0,10K
BNBUSDT,Alphabit_RandomWalk1_L320_M,12,12,1.0,10K
