sub_test,bracket,status,n_ran,n_fail,type_I_rate,passed_sanity
D_adaptive,5K,passed,1000,14,0.014,True
D_k2,5K,passed,1000,8,0.008,True
Monobit,5K,passed,1000,11,0.011,True
Runs,5K,passed,1000,8,0.008,True
ApEn,5K,passed,1000,15,0.015,True
BlockFrequency,5K,passed,1000,6,0.006,True
CumSum_forward,5K,passed,1000,11,0.011,True
CumSum_backward,5K,passed,1000,12,0.012,True
LongestRun,5K,failed,1000,122,0.122,False
DFT,5K,passed,1000,13,0.013,True
Serial_m,5K,passed,1000,8,0.008,True
Serial_m_minus_1,5K,passed,1000,11,0.011,True
Alphabit_MultinomialBitsOver_L2,5K,passed,1000,8,0.008,True
Alphabit_MultinomialBitsOver_L4,5K,passed,1000,8,0.008,True
Alphabit_MultinomialBitsOver_L8,5K,passed,1000,11,0.011,True
Alphabit_MultinomialBitsOver_L16,5K,not_run,0,0,,False
Alphabit_HammingIndep_L16,5K,passed,1000,8,0.008,True
Alphabit_HammingIndep_L32,5K,passed,1000,8,0.008,True
Alphabit_HammingCorr_L32,5K,passed,1000,11,0.011,True
Alphabit_RandomWalk1_L64_H,5K,passed,1000,11,0.011,True
Alphabit_RandomWalk1_L64_M,5K,passed,1000,9,0.009,True
Alphabit_RandomWalk1_L64_J,5K,passed,1000,11,0.011,True
Alphabit_RandomWalk1_L64_R,5K,passed,1000,6,0.006,True
Alphabit_RandomWalk1_L64_C,5K,passed,1000,11,0.011,True
Alphabit_RandomWalk1_L320_H,5K,not_run,0,0,,False
Alphabit_RandomWalk1_L320_M,5K,not_run,0,0,,False
Alphabit_RandomWalk1_L320_J,5K,not_run,0,0,,False
Alphabit_RandomWalk1_L320_R,5K,not_run,0,0,,False
Alphabit_RandomWalk1_L320_C,5K,not_run,0,0,,False
D_adaptive,10K,passed,1000,11,0.011,True
D_k2,10K,passed,1000,13,0.013,True
Monobit,10K,passed,1000,6,0.006,True
Runs,10K,passed,1000,13,0.013,True
ApEn,10K,passed,1000,10,0.01,True
BlockFrequency,10K,passed,1000,7,0.007,True
CumSum_forward,10K,passed,1000,5,0.005,True
CumSum_backward,10K,passed,1000,6,0.006,True
