n,subset,ell_star_n,n_months_passed,survival_median,fused_p1_median,kept_seconds_median,estimated_bits_per_month,witness_offset
2,ETHUSDT-BNBUSDT,9,9,0.3109270459976105,0.33339534436370355,832787.0,92531.88888888889,0
2,BNBUSDT-SOLUSDT,9,9,0.26478243021979975,0.3360235460393551,704825.0,78313.88888888889,6
2,BTCUSDT-ETHUSDT,10,9,0.3627669504181601,0.34013492721032074,971635.0,97163.5,1
2,BTCUSDT-SOLUSDT,10,9,0.302002688172043,0.32762989544837284,808884.0,80888.4,5
2,BNBUSDT-DOGEUSDT,10,9,0.2817609630831564,0.32586437794648593,754668.0,75466.8,9
2,BTCUSDT-BNBUSDT,10,9,0.26216808542413383,0.36185168992482103,702191.0,70219.1,6
2,ETHUSDT-SOLUSDT,12,9,0.3624077807646356,0.2543080934568078,970673.0,80889.41666666667,4
2,BTCUSDT-DOGEUSDT,12,9,0.3006579676889067,0.31153869146746604,805282.0,67106.83333333333,1
2,ETHUSDT-DOGEUSDT,13,9,0.3865924282322598,0.21339408313568842,1035448.0,79649.84615384616,8
2,SOLUSDT-DOGEUSDT,15,9,0.32162546417672055,0.2069480279547329,861441.0,57429.4,2
3,BTCUSDT-ETHUSDT-SOLUSDT,3,9,0.22619885005973717,0.5000642725004983,605851.0,201950.33333333334,0
3,ETHUSDT-BNBUSDT-SOLUSDT,3,9,0.20021952202839896,0.500470871922837,526387.0,175462.33333333334,1
3,BTCUSDT-ETHUSDT-BNBUSDT,3,9,0.19544914874551972,0.4998153932709382,523491.0,174497.0,0
3,BNBUSDT-SOLUSDT-DOGEUSDT,3,9,0.18691844901317878,0.49955922322538693,500642.0,166880.66666666666,0
3,BTCUSDT-BNBUSDT-SOLUSDT,3,9,0.17475545101553167,0.49934738882476415,468065.0,156021.66666666666,1
3,BTCUSDT-BNBUSDT-DOGEUSDT,3,9,0.176534608849705,0.5000221208175855,457577.0,152525.66666666666,1
3,ETHUSDT-SOLUSDT-DOGEUSDT,5,9,0.2604352528770007,0.4992070305898259,697549.0,139509.8,0
3,BTCUSDT-ETHUSDT-DOGEUSDT,5,9,0.2404198458409899,0.49982218738957496,623168.0,124633.6,4
3,ETHUSDT-BNBUSDT-DOGEUSDT,5,9,0.21506595176144538,0.5015827829852151,576032.0,115206.4,2
3,BTCUSDT-SOLUSDT-DOGEUSDT,5,9,0.20623588942498858,0.49899684666538335,548658.0,109731.6,2
4,ETHUSDT-BNBUSDT-SOLUSDT-DOGEUSDT,9,9,0.15359933572207554,0.28051843341194493,411400.0,45711.11111111111,1
4,BTCUSDT-ETHUSDT-BNBUSDT-SOLUSDT,9,9,0.14192054958183992,0.3196991454116795,380120.0,42235.555555555555,1
4,BTCUSDT-BNBUSDT-SOLUSDT-DOGEUSDT,9,9,0.13255157278657884,0.30993786370575677,346597.0,38510.77777777778,1
4,BTCUSDT-ETHUSDT-BNBUSDT-DOGEUSDT,10,9,0.14521697476738904,0.30669902995452647,388949.0,38894.9,4
4,BTCUSDT-ETHUSDT-SOLUSDT-DOGEUSDT,11,9,0.17425870772704719,0.2732798553351588,466734.0,42430.36363636364,5
5,BTCUSDT-ETHUSDT-BNBUSDT-SOLUSDT-DOGEUSDT,3,9,0.11520912306194857,0.4985548197427998,308576.0,102858.66666666667,0
