n,subset,month,stream_bits,h_inf_mcv,h_inf_markov,h_inf_min,binding_estimator,total_min_entropy_bits,ikm_bytes_for_target
2,BTCUSDT+ETHUSDT,2025-10,97674,0.9880704159060609,0.9960773550883706,0.9880704159060609,MCV,96508.7898032086,33
2,BTCUSDT+ETHUSDT,2025-11,106379,0.9802660877966489,0.9894911870325461,0.9802660877966489,MCV,104279.72615371972,33
2,BTCUSDT+ETHUSDT,2025-12,82469,0.9839134915731006,0.9918235771273084,0.9839134915731006,MCV,81142.36173654204,33
2,BTCUSDT+ETHUSDT,2026-01,75369,0.9773591196831548,0.9933003796603277,0.9773591196831548,MCV,73662.5794913997,33
2,BTCUSDT+ETHUSDT,2026-02,105614,0.9752020109740688,0.9897794390668364,0.9752020109740688,MCV,102994.9851870153,33
2,BTCUSDT+ETHUSDT,2026-03,93571,0.9782265513402223,0.9828856838678276,0.9782265513402223,MCV,91533.63663545594,33
3,BTCUSDT+ETHUSDT+SOLUSDT,2025-10,228069,0.9914156006871765,0.9934098396147694,0.9914156006871765,MCV,226111.16463312364,33
3,BTCUSDT+ETHUSDT+SOLUSDT,2025-11,240414,0.9878755453404547,0.9895563239128423,0.9878755453404547,MCV,237499.11135748008,33
3,BTCUSDT+ETHUSDT+SOLUSDT,2025-12,159138,0.9897601038235381,0.9953258964486029,0.9897601038235381,MCV,157508.4434022702,33
3,BTCUSDT+ETHUSDT+SOLUSDT,2026-01,140164,0.9878200940414111,0.9976409291506753,0.9878200940414111,MCV,138456.81566122035,33
3,BTCUSDT+ETHUSDT+SOLUSDT,2026-02,215194,0.9889744381534753,0.9956548384509901,0.9889744381534753,MCV,212821.36524399897,33
3,BTCUSDT+ETHUSDT+SOLUSDT,2026-03,168465,0.9843432407323283,0.9823796252958603,0.9823796252958603,Markov,165496.5835754671,33
4,ETHUSDT+BNBUSDT+SOLUSDT+DOGEUSDT,2025-10,64842,0.9768714259747615,0.9871740366229681,0.9768714259747615,MCV,63342.297003055486,33
4,ETHUSDT+BNBUSDT+SOLUSDT+DOGEUSDT,2025-11,56870,0.9453392927910228,0.9542816309344564,0.9453392927910228,MCV,53761.445581025466,34
4,ETHUSDT+BNBUSDT+SOLUSDT+DOGEUSDT,2025-12,29709,0.9414353914838746,0.9464480234201147,0.9414353914838746,MCV,27969.104045594428,34
4,ETHUSDT+BNBUSDT+SOLUSDT+DOGEUSDT,2026-01,24350,0.9609601327745767,0.9864498858960661,0.9609601327745767,MCV,23399.379233060943,34
4,ETHUSDT+BNBUSDT+SOLUSDT+DOGEUSDT,2026-02,41457,0.9034749508714814,0.9258724159972912,0.9034749508714814,MCV,37455.36103827901,36
4,ETHUSDT+BNBUSDT+SOLUSDT+DOGEUSDT,2026-03,26815,0.907163784108834,0.9250951472587798,0.907163784108834,MCV,24325.596870878384,36
5,BTCUSDT+ETHUSDT+BNBUSDT+SOLUSDT+DOGEUSDT,2025-10,145465,0.9794644484009031,0.987158509893904,0.9794644484009031,MCV,142477.79598663736,33
5,BTCUSDT+ETHUSDT+BNBUSDT+SOLUSDT+DOGEUSDT,2025-11,142537,0.9889746373883266,0.9986064195161942,0.9889746373883266,MCV,140965.4778894199,33
5,BTCUSDT+ETHUSDT+BNBUSDT+SOLUSDT+DOGEUSDT,2025-12,75669,0.9832519602645245,0.996844342456796,0.9832519602645245,MCV,74401.69258125631,33
5,BTCUSDT+ETHUSDT+BNBUSDT+SOLUSDT+DOGEUSDT,2026-01,60632,0.9809422591271247,0.9953978429678588,0.9809422591271247,MCV,59476.491055395825,33
5,BTCUSDT+ETHUSDT+BNBUSDT+SOLUSDT+DOGEUSDT,2026-02,114567,0.9788885056754429,0.9811125181161365,0.9788885056754429,MCV,112148.31942971847,33
5,BTCUSDT+ETHUSDT+BNBUSDT+SOLUSDT+DOGEUSDT,2026-03,73359,0.9835615781636442,0.9902350215554381,0.9835615781636442,MCV,72153.09381250678,33
